unit,symbol,source_path,size,fuzzy,gap,priority,db_statuses,run_target_rows,lease_count,worker_session_count,ever_leased_or_event
main/melee/mn/mndatadel,fn_8024F318,src/melee/mn/mndatadel.c,1320,88.08485,11.91515,66.6369,no_db_target,0,0,0,False
main/melee/ft/chara/ftKirby/ftkirbyspecialn,ftKb_EatWait_IASA,src/melee/ft/chara/ftKirby/ftkirbyspecialn.c,1004,90.05180,9.94820,66.3013,no_db_target,0,0,0,False
main/melee/gr/grpstadium,grStadium_801D3BBC,src/melee/gr/grpstadium.c,900,90.73778,9.26222,65.7978,no_db_target,0,0,0,False
main/melee/mn/mndiagram,mnDiagram_8024227C,src/melee/mn/mndiagram.c,1336,87.84132,12.15868,65.3670,queued:2,2,0,0,False
main/melee/gm/gm_18A5,fn_801913BC,src/melee/gm/gm_18A5.c,700,92.20571,7.79429,64.8330,queued:2,2,0,0,False
main/sysdolphin/baselib/particle,hsd_8039254C,src/sysdolphin/baselib/particle.c,1000,89.92000,10.08000,64.7939,no_db_target,0,0,0,False
main/melee/ft/chara/ftKirby/ftkirbyspecialn,ftKb_SpecialAirLwStart_Coll,src/melee/ft/chara/ftKirby/ftkirbyspecialn.c,828,91.14976,8.85024,64.5070,no_db_target,0,0,0,False
main/melee/ft/ftcpuattack,ftCo_800B8A9C,src/melee/ft/ftcpuattack.c,1412,87.29462,12.70538,64.4845,no_db_target,0,0,0,False
main/melee/gm/gm_1832,fn_80187910,src/melee/gm/gm_1832.c,420,94.72381,5.27619,63.9651,queued:2,2,0,0,False
main/melee/gm/gm_18A5,fn_8018C8D4,src/melee/gm/gm_18A5.c,3128,79.93095,20.06905,63.5892,queued:2,2,0,0,False
main/melee/ft/chara/ftCommon/ftCo_0A01,ftCo_800AE7AC,src/melee/ft/chara/ftCommon/ftCo_0A01.c,736,91.78804,8.21196,63.5399,queued:1,1,0,0,False
main/melee/lb/lbaudio_ax,lbAudioAx_80027648,src/melee/lb/lbaudio_ax.c,532,93.57143,6.42857,63.3425,no_db_target,0,0,0,False
main/melee/gr/gronett,grOnett_801E5214,src/melee/gr/gronett.c,672,92.28571,7.71429,63.1028,no_db_target,0,0,0,False
main/melee/cm/camera,Camera_8002DDC4,src/melee/cm/camera.c,544,93.30882,6.69118,61.5373,no_db_target,0,0,0,False
main/melee/gm/gm_1832,fn_80188738,src/melee/gm/gm_1832.c,472,93.98305,6.01695,61.1002,queued:2,2,0,0,False
main/melee/gr/grzebes,grZebes_801DBB60,src/melee/gr/grzebes.c,1792,84.79688,15.20312,60.9030,no_db_target,0,0,0,False
main/melee/gr/grbigblue,fn_801EF60C,src/melee/gr/grbigblue.c,460,94.03478,5.96522,60.1947,no_db_target,0,0,0,False
main/melee/mn/mncharsel,mnCharSel_8025FDEC,src/melee/mn/mncharsel.c,680,91.88236,8.11764,59.6311,no_db_target,0,0,0,False
main/melee/mn/mnsnap,mnSnap_8025329C,src/melee/mn/mnsnap.c,932,89.78541,10.21459,59.2370,no_db_target,0,0,0,False
main/melee/ft/ft_0CDD,ftCo_800CE650,src/melee/ft/ft_0CDD.c,1184,87.98987,12.01013,59.0437,no_db_target,0,0,0,False
