unit,symbol,source_path,size,fuzzy,gap,priority,db_statuses,run_target_rows,lease_count,worker_session_count,ever_leased_or_event
main/melee/ft/chara/ftCommon/ftCo_0A01,ftCo_800B04DC,src/melee/ft/chara/ftCommon/ftCo_0A01.c,644,84.89441,15.10559,22.1298,queued:1,1,0,0,False
main/melee/mn/mnsound,fn_80249A1C,src/melee/mn/mnsound.c,492,86.89431,13.10569,21.3865,no_db_target,0,0,0,False
main/melee/mn/mnstagesw,fn_80236998,src/melee/mn/mnstagesw.c,804,82.37811,17.62189,20.9993,no_db_target,0,0,0,False
main/melee/gr/grvenom,grVenom_802053B0,src/melee/gr/grvenom.c,764,82.77487,17.22513,20.8100,no_db_target,0,0,0,False
main/melee/gm/gmresultplayer,fn_80179990,src/melee/gm/gmresultplayer.c,940,80.74468,19.25532,20.7399,no_db_target,0,0,0,False
main/sysdolphin/baselib/particle,fn_80392A3C,src/sysdolphin/baselib/particle.c,656,84.12195,15.87805,20.6762,no_db_target,0,0,0,False
main/melee/ft/chara/ftCommon/ftCo_WarpStar,ftCo_800C4C60,src/melee/ft/chara/ftCommon/ftCo_WarpStar.c,460,87.16522,12.83478,20.6730,no_db_target,0,0,0,False
main/melee/gr/grmutecity,grMuteCity_801F1328,src/melee/gr/grmutecity.c,1044,79.65517,20.34483,20.6485,no_db_target,0,0,0,False
main/melee/ft/chara/ftCommon/ftCo_0A01,ftCo_800A229C,src/melee/ft/chara/ftCommon/ftCo_0A01.c,1148,78.63066,21.36934,20.5265,queued:1,1,0,0,False
main/melee/lb/lbaudio_ax,fn_80026C04,src/melee/lb/lbaudio_ax.c,596,84.89262,15.10738,20.4762,no_db_target,0,0,0,False
main/melee/gr/grvenom,grVenom_8020362C,src/melee/gr/grvenom.c,1256,77.50955,22.49045,20.1474,no_db_target,0,0,0,False
main/melee/ft/chara/ftCommon/ftCo_0A01,ftCo_800ABBA8,src/melee/ft/chara/ftCommon/ftCo_0A01.c,1892,72.84144,27.15856,19.6051,queued:1,1,0,0,False
main/melee/gr/grflatzone,grFlatzone_802174EC,src/melee/gr/grflatzone.c,344,88.95349,11.04651,19.4802,no_db_target,0,0,0,False
main/melee/gr/grmutecity,grMuteCity_801F106C,src/melee/gr/grmutecity.c,700,82.91428,17.08572,19.3521,no_db_target,0,0,0,False
main/melee/gm/gm_1832,fn_80188EE8,src/melee/gm/gm_1832.c,780,81.75384,18.24616,19.0861,queued:2,2,0,0,False
main/melee/mn/mnruleplus,mn_802327A4,src/melee/mn/mnruleplus.c,1448,75.25691,24.74309,18.7640,no_db_target,0,0,0,False
main/melee/mp/mplib,mpLib_80053ECC_Floor,src/melee/mp/mplib.c,296,89.52702,10.47298,18.1394,queued:1,1,0,0,False
main/melee/ty/tyfigupon,un_803153EC,src/melee/ty/tyfigupon.c,392,87.37755,12.62245,18.0883,no_db_target,0,0,0,False
main/melee/gr/gryorster,grYorster_802022A4,src/melee/gr/gryorster.c,388,87.45361,12.54639,18.0750,no_db_target,0,0,0,False
main/melee/gm/gmcamera,gmCamera_801A2AAC,src/melee/gm/gmcamera.c,260,90.36923,9.63077,17.9864,no_db_target,0,0,0,False
main/melee/gm/gm_18A5,fn_801937C4,src/melee/gm/gm_18A5.c,916,79.38428,20.61572,17.6370,queued:1,1,0,0,False
main/melee/gm/gm_18A5,fn_8019B458,src/melee/gm/gm_18A5.c,964,78.77593,21.22407,17.4831,queued:1,1,0,0,False
main/melee/mn/mnmainrule,mn_8022FEC8,src/melee/mn/mnmainrule.c,720,81.66111,18.33889,17.4495,no_db_target,0,0,0,False
main/melee/ft/chara/ftCommon/ftCo_DownBound,ftCo_800976A4,src/melee/ft/chara/ftCommon/ftCo_DownBound.c,560,83.70000,16.30000,16.8514,no_db_target,0,0,0,False
main/melee/mn/mnstagesw,fn_80235F80,src/melee/mn/mnstagesw.c,504,84.28571,15.71429,16.1762,no_db_target,0,0,0,False
main/melee/gr/grgreens,grGreens_802159B8,src/melee/gr/grgreens.c,460,85.09565,14.90435,16.1727,no_db_target,0,0,0,False
main/melee/ft/chara/ftCommon/ftCo_0A01,ftCo_800A8210,src/melee/ft/chara/ftCommon/ftCo_0A01.c,1116,76.38351,23.61649,16.0792,no_db_target,0,0,0,False
main/melee/mn/mnmainrule,mn_80230E38,src/melee/mn/mnmainrule.c,2044,69.41487,30.58513,15.5110,no_db_target,0,0,0,False
main/melee/gr/grzakogenerator,grZakoGenerator_801CAC14,src/melee/gr/grzakogenerator.c,164,92.29269,7.70731,15.4187,no_db_target,0,0,0,False
main/melee/gr/grpura,grPura_80213250,src/melee/gr/grpura.c,520,83.56154,16.43846,15.4136,queued:1,1,0,0,False
main/melee/lb/lbrefract,lbRefract_800222A4,src/melee/lb/lbrefract.c,472,84.44068,15.55932,15.4127,no_db_target,0,0,0,False
main/melee/gm/gm_18A5,fn_80194BC4,src/melee/gm/gm_18A5.c,448,84.75000,15.25000,15.1455,queued:1,1,0,0,False
main/melee/gm/gmresult,fn_80175880,src/melee/gm/gmresult.c,532,83.04511,16.95489,14.9148,queued:1,1,0,0,False
main/melee/lb/lbaudio_ax,lbAudioAx_80023B24,src/melee/lb/lbaudio_ax.c,944,77.31780,22.68220,14.8667,no_db_target,0,0,0,False
main/dolphin/thp/THPDec,THPDec_803310CC,extern/dolphin/src/dolphin/thp/THPDec.c,552,82.60145,17.39855,14.7614,queued:1,1,0,0,False
main/melee/gm/gm_1601,fn_80162170,src/melee/gm/gm_1601.c,564,82.39007,17.60993,14.7494,queued:2,2,0,0,False
main/melee/ft/chara/ftNana/ftNn_Init,ftNn_Init_801230D0,src/melee/ft/chara/ftNana/ftNn_Init.c,328,87.14634,12.85366,14.7064,no_db_target,0,0,0,False
main/sysdolphin/baselib/particle,hsd_80397110,src/sysdolphin/baselib/particle.c,612,80.88236,19.11764,13.6932,no_db_target,0,0,0,False
main/melee/gr/grgreens,fn_80215B84,src/melee/gr/grgreens.c,460,83.58261,16.41739,13.6664,no_db_target,0,0,0,False
main/sysdolphin/baselib/hsd_3B5C,fn_803B6820,src/sysdolphin/baselib/hsd_3B5C.c,964,76.17427,23.82573,13.6170,no_db_target,0,0,0,False
main/melee/lb/lbaudio_ax,fn_800268B4,src/melee/lb/lbaudio_ax.c,248,88.70968,11.29032,13.5908,no_db_target,0,0,0,False
main/melee/gr/granime,grAnime_801C6C0C,src/melee/gr/granime.c,728,78.79121,21.20879,13.2228,no_db_target,0,0,0,False
main/melee/if/ifstock,ifStock_802F89F8,src/melee/if/ifstock.c,952,75.89496,24.10504,13.0979,no_db_target,0,0,0,False
main/sysdolphin/baselib/particle,hsd_803922FC,src/sysdolphin/baselib/particle.c,376,85.00000,15.00000,13.0762,no_db_target,0,0,0,False
main/melee/ft/chara/ftCommon/ftCo_DownBound,ftCo_80097AF4,src/melee/ft/chara/ftCommon/ftCo_DownBound.c,588,80.76871,19.23129,13.0052,no_db_target,0,0,0,False
main/melee/gr/grinishie1,grInishie1_801FBCEC,src/melee/gr/grinishie1.c,460,82.92174,17.07826,12.7272,no_db_target,0,0,0,False
main/melee/if/if_2F72,fn_802F77F8,src/melee/if/if_2F72.c,412,83.93204,16.06796,12.7168,no_db_target,0,0,0,False
main/sysdolphin/baselib/texpdag,order_dag,src/sysdolphin/baselib/texpdag.c,584,80.42466,19.57534,12.4749,no_db_target,0,0,0,False
main/sysdolphin/baselib/particle,psInitDataBankLocate,src/sysdolphin/baselib/particle.c,908,75.73568,24.26432,12.3067,no_db_target,0,0,0,False
main/sysdolphin/baselib/hsd_3AA7,hsd_803AC558,src/sysdolphin/baselib/hsd_3AA7.c,220,88.76363,11.23637,12.1437,queued:2,2,0,0,False
main/melee/gm/gmallstar,gm_801B60A4_OnLoad,src/melee/gm/gmallstar.c,564,80.19858,19.80142,11.7769,no_db_target,0,0,0,False
main/melee/gm/gm_1601,gm_80166A98,src/melee/gm/gm_1601.c,548,80.43796,19.56204,11.7216,queued:2,2,0,0,False
main/melee/gm/gmmain_lib,gmMainLib_8015DBF4,src/melee/gm/gmmain_lib.c,3724,59.65414,40.34586,11.6860,no_db_target,0,0,0,False
main/sysdolphin/baselib/particle,hsd_803941E8,src/sysdolphin/baselib/particle.c,300,85.86667,14.13333,11.5310,no_db_target,0,0,0,False
main/melee/gm/gm_18A5,fn_8018FBE0,src/melee/gm/gm_18A5.c,484,81.07438,18.92562,11.0433,queued:1,1,0,0,False
main/sysdolphin/baselib/particle,hsd_80396E40,src/sysdolphin/baselib/particle.c,664,77.71687,22.28313,10.8657,no_db_target,0,0,0,False
main/melee/ft/chara/ftCommon/ftCo_ItemThrow,ftCo_80095EFC,src/melee/ft/chara/ftCommon/ftCo_ItemThrow.c,548,79.49635,20.50365,10.6691,no_db_target,0,0,0,False
main/melee/lb/lbaudio_ax,fn_80023254,src/melee/lb/lbaudio_ax.c,408,81.88236,18.11764,10.1177,no_db_target,0,0,0,False
main/melee/gm/gmallstar,gm_801B5324,src/melee/gm/gmallstar.c,768,74.52604,25.47396,9.2967,no_db_target,0,0,0,False
main/sysdolphin/baselib/particle,hsd_80396188,src/sysdolphin/baselib/particle.c,288,83.94444,16.05556,8.9015,no_db_target,0,0,0,False
main/melee/gm/gm_18A5,fn_80191240,src/melee/gm/gm_18A5.c,380,81.27368,18.72632,8.8491,queued:1,1,0,0,False
main/melee/ft/chara/ftCommon/ftCo_0A01,ftCo_800A2718,src/melee/ft/chara/ftCommon/ftCo_0A01.c,440,79.80909,20.19091,8.8367,no_db_target,0,0,0,False
main/melee/gr/grinishie1,grInishie1_801FBAA0,src/melee/gr/grinishie1.c,428,79.95327,20.04673,8.7202,no_db_target,0,0,0,False
main/melee/gm/gmcamera,gmCamera_801A253C,src/melee/gm/gmcamera.c,140,89.62857,10.37143,8.7028,no_db_target,0,0,0,False
main/sysdolphin/baselib/particle,hsd_80396884,src/sysdolphin/baselib/particle.c,412,80.25243,19.74757,8.6496,no_db_target,0,0,0,False
main/sysdolphin/baselib/hsd_3B34,hsd_803B3408,src/sysdolphin/baselib/hsd_3B34.c,868,72.10599,27.89401,8.4089,no_db_target,0,0,0,False
main/melee/gr/grflatzone,grFlatzone_802181B4,src/melee/gr/grflatzone.c,172,87.74419,12.25581,8.3120,no_db_target,0,0,0,False
main/sysdolphin/baselib/particle,hsd_80394668,src/sysdolphin/baselib/particle.c,744,73.54839,26.45161,8.2271,no_db_target,0,0,0,False
main/melee/if/ifstock,fn_802FAC34,src/melee/if/ifstock.c,656,74.90243,25.09757,8.2240,no_db_target,0,0,0,False
main/sysdolphin/baselib/hsd_3B5C,hsd_803B5EA0,src/sysdolphin/baselib/hsd_3B5C.c,788,72.42640,27.57360,7.8607,no_db_target,0,0,0,False
main/melee/mn/mnnamenew,fn_8023DAEC,src/melee/mn/mnnamenew.c,252,83.95238,16.04762,7.7956,queued:1,1,0,0,False
main/melee/gr/grgreens,grGreens_80215D54,src/melee/gr/grgreens.c,388,79.73196,20.26804,7.7328,no_db_target,0,0,0,False
main/melee/gm/gm_1601,gm_80164A0C,src/melee/gm/gm_1601.c,176,86.95454,13.04546,7.7071,queued:2,2,0,0,False
main/melee/lb/lbaudio_ax,lbAudioAx_80027168,src/melee/lb/lbaudio_ax.c,800,72.00000,28.00000,7.6755,no_db_target,0,0,0,False
main/melee/gr/grgreens,grGreens_802150C4,src/melee/gr/grgreens.c,660,73.84849,26.15151,7.5032,no_db_target,0,0,0,False
main/melee/gr/grbigblue,grBigBlue_801E8A1C,src/melee/gr/grbigblue.c,360,79.90000,20.10000,7.2959,no_db_target,0,0,0,False
main/melee/ft/chara/ftCommon/ftCo_0A01,ftCo_800B33B0,src/melee/ft/chara/ftCommon/ftCo_0A01.c,1360,65.02647,34.97353,6.9508,no_db_target,0,0,0,False
main/melee/ft/chara/ftCommon/ftCo_0A01,ftCo_800A7AAC,src/melee/ft/chara/ftCommon/ftCo_0A01.c,1592,62.81407,37.18593,6.6631,no_db_target,0,0,0,False
main/melee/gr/grflatzone,grFlatzone_80218060,src/melee/gr/grflatzone.c,340,79.22353,20.77647,6.4434,no_db_target,0,0,0,False
main/melee/gm/gm_1601,fn_80169A84,src/melee/gm/gm_1601.c,464,75.47414,24.52586,6.1363,queued:2,2,0,0,False
main/melee/gm/gm_1601,fn_8016588C,src/melee/gm/gm_1601.c,564,72.96454,27.03546,5.9106,queued:2,2,0,0,False
main/melee/gm/gm_1601,gm_8016A22C,src/melee/gm/gm_1601.c,472,74.75423,25.24577,5.8361,queued:1,1,0,0,False
main/sysdolphin/baselib/particle,hsd_803975D4,src/sysdolphin/baselib/particle.c,576,72.43056,27.56944,5.7481,no_db_target,0,0,0,False
main/melee/gm/gm_1601,fn_80160DE8,src/melee/gm/gm_1601.c,368,77.01087,22.98913,5.6279,queued:1,1,0,0,False
main/melee/lb/lbrefract,lbRefract_PObjLoad,src/melee/lb/lbrefract.c,664,70.48193,29.51807,5.5494,no_db_target,0,0,0,False
main/melee/ft/chara/ftCommon/ftCo_0A01,ftCo_800A75DC,src/melee/ft/chara/ftCommon/ftCo_0A01.c,1232,62.66559,37.33441,5.0875,no_db_target,0,0,0,False
main/melee/mn/mnstagesw,mnStageSw_80235C58,src/melee/mn/mnstagesw.c,368,75.84782,24.15218,5.0406,no_db_target,0,0,0,False
main/melee/mn/mnnamenew,mnNameNew_8023DA08,src/melee/mn/mnnamenew.c,228,80.64912,19.35088,4.9821,queued:1,1,0,0,False
main/melee/mn/mnsoundtest,mnSoundTest_8024BEE0,src/melee/mn/mnsoundtest.c,256,79.06250,20.93750,4.7752,no_db_target,0,0,0,False
main/melee/ft/chara/ftCommon/ftCo_0A01,ftCo_800A866C,src/melee/ft/chara/ftCommon/ftCo_0A01.c,724,67.75691,32.24309,4.7313,no_db_target,0,0,0,False
main/melee/gm/gm_1601,fn_801695BC,src/melee/gm/gm_1601.c,576,70.22222,29.77778,4.7020,queued:1,1,0,0,False
main/sysdolphin/baselib/texpdag,HSD_TExpMakeDag,src/sysdolphin/baselib/texpdag.c,1184,62.16216,37.83784,4.6711,no_db_target,0,0,0,False
main/melee/gr/groldyoshi,grOldYoshi_8020F31C,src/melee/gr/groldyoshi.c,232,79.74138,20.25862,4.6281,no_db_target,0,0,0,False
main/sysdolphin/baselib/particle,hsd_803957C0,src/sysdolphin/baselib/particle.c,432,73.02778,26.97222,4.5536,no_db_target,0,0,0,False
main/melee/if/ifcoget,un_802FF4FC,src/melee/if/ifcoget.c,116,85.96551,14.03449,4.5108,no_db_target,0,0,0,False
main/melee/if/ifmagnify,ifMagnify_802FC750,src/melee/if/ifmagnify.c,112,86.21429,13.78571,4.4853,no_db_target,0,0,0,False
main/melee/gr/groldpupupu,grOldPupupu_8021119C,src/melee/gr/groldpupupu.c,232,79.22414,20.77586,4.3969,no_db_target,0,0,0,False
main/melee/gr/grflatzone,grFlatzone_80217EF0,src/melee/gr/grflatzone.c,364,74.26373,25.73627,4.3003,no_db_target,0,0,0,False
main/melee/ft/chara/ftKirby/ftkirbyspecialn,ftKb_SpecialHi_800F3570,src/melee/ft/chara/ftKirby/ftkirbyspecialn.c,364,73.92308,26.07692,4.1668,no_db_target,0,0,0,False
main/melee/gm/gmmain_lib,gmMainLib_8015F150,src/melee/gm/gmmain_lib.c,272,76.97059,23.02941,4.1438,no_db_target,0,0,0,False
main/melee/gm/gm_1601,gm_8016AC44,src/melee/gm/gm_1601.c,500,70.31200,29.68800,4.1149,queued:1,1,0,0,False
main/melee/gr/grpura,grPura_80212CD4,src/melee/gr/grpura.c,544,69.10294,30.89706,4.0135,no_db_target,0,0,0,False
main/melee/gr/grshrineroute,grShrineRoute_8020AF38,src/melee/gr/grshrineroute.c,232,77.01724,22.98276,3.5502,no_db_target,0,0,0,False
main/sysdolphin/baselib/particle,hsd_803921B8,src/sysdolphin/baselib/particle.c,324,72.87654,27.12346,3.3681,no_db_target,0,0,0,False
main/melee/gr/grgreens,grGreens_80216C20,src/melee/gr/grgreens.c,452,68.75221,31.24779,3.2309,no_db_target,0,0,0,False
main/dolphin/thp/THPDec,THPDec_8032F8D4,extern/dolphin/src/dolphin/thp/THPDec.c,1132,58.08127,41.91873,3.0724,queued:1,1,0,0,False
main/melee/gm/gmresultplayer,fn_8017AA78,src/melee/gm/gmresultplayer.c,652,62.73620,37.26380,2.7097,no_db_target,0,0,0,False
main/melee/ft/chara/ftCommon/ftCo_0A01,ftCo_800AEA8C,src/melee/ft/chara/ftCommon/ftCo_0A01.c,612,63.26144,36.73856,2.6673,no_db_target,0,0,0,False
main/sysdolphin/baselib/particle,hsd_80398A08,src/sysdolphin/baselib/particle.c,508,62.66929,37.33071,2.0985,no_db_target,0,0,0,False
main/melee/if/soundtest,un_802FF7DC,src/melee/if/soundtest.c,168,72.76190,27.23810,1.7282,queued:1,1,0,0,False
main/melee/gr/grzakogenerator,grZakoGenerator_801CAEB0,src/melee/gr/grzakogenerator.c,64,81.25000,18.75000,1.4868,no_db_target,0,0,0,False
main/sysdolphin/baselib/synth,HSD_SynthSFXSampleLoadCallback,src/sysdolphin/baselib/synth.c,1064,49.04887,50.95113,1.2084,no_db_target,0,0,0,False
main/melee/if/soundtest,un_80300AF4,src/melee/if/soundtest.c,100,74.44000,25.56000,1.2009,no_db_target,0,0,0,False
main/dolphin/thp/THPDec,THPVideoDecode,extern/dolphin/src/dolphin/thp/THPDec.c,808,50.86138,49.13862,1.1002,queued:1,1,0,0,False
main/melee/gr/grpura,grPura_802120E0,src/melee/gr/grpura.c,428,56.16822,43.83178,0.9717,no_db_target,0,0,0,False
main/melee/if/soundtest,un_80300B58,src/melee/if/soundtest.c,100,70.64000,29.36000,0.8478,no_db_target,0,0,0,False
main/melee/if/soundtest,un_802FF9DC,src/melee/if/soundtest.c,380,55.48421,44.51579,0.8088,no_db_target,0,0,0,False
main/dolphin/thp/THPDec,__THPReadScaneHeader,extern/dolphin/src/dolphin/thp/THPDec.c,344,42.59302,57.40698,0.1972,queued:1,1,0,0,False
main/dolphin/thp/THPDec,__THPReadFrameHeader,extern/dolphin/src/dolphin/thp/THPDec.c,520,37.00000,63.00000,0.1547,queued:1,1,0,0,False
main/melee/ft/chara/ftCommon/ftCo_Damage,ftCo_8008EB58,src/melee/ft/chara/ftCommon/ftCo_Damage.c,312,39.05128,60.94872,0.1190,no_db_target,0,0,0,False
main/melee/gr/grzebes,grZebes_801DA0C4,src/melee/gr/grzebes.c,400,30.50000,69.50000,0.0498,no_db_target,0,0,0,False
main/dolphin/thp/THPDec,__THPHuffGenerateSizeTable,extern/dolphin/src/dolphin/thp/THPDec.c,408,26.92157,73.07843,0.0293,queued:1,1,0,0,False
main/dolphin/thp/THPDec,__THPHuffGenerateCodeTable,extern/dolphin/src/dolphin/thp/THPDec.c,224,22.94643,77.05357,0.0081,queued:1,1,0,0,False
main/dolphin/thp/THPDec,THPInit,extern/dolphin/src/dolphin/thp/THPDec.c,516,10.60465,89.39535,0.0007,queued:1,1,0,0,False
