epoch-07-pair-03	7	main/melee/gm/gmclassic::gmClassic_801B2BA4	97.916664	/Users/Ford/Github Repos/Codecaine/gamecube-decomp-harness/analysis/worker-audit-2026-09-01/condensed/c7af4f27-8f28-46fb-94fb-2b82a012da52.md	main/melee/mn/mnruleplus::mn_802327A4	99.11602	99.558014	/Users/Ford/Github Repos/Codecaine/gamecube-decomp-harness/analysis/worker-audit-2026-09-01/condensed/c31ba6a9-57de-4293-8119-93ca27d8ad59.md
epoch-07-pair-04	7	main/melee/gm/gmallstar::gm_801B5624	97.9646	/Users/Ford/Github Repos/Codecaine/gamecube-decomp-harness/analysis/worker-audit-2026-09-01/condensed/8fc06ef7-2ab4-46e1-adf4-d2a52e73da37.md	main/melee/gm/gmregclear::gm_8017CE34	99.15842	99.76073	/Users/Ford/Github Repos/Codecaine/gamecube-decomp-harness/analysis/worker-audit-2026-09-01/condensed/38fc6552-851f-4606-a426-160bfd8a25f2.md
epoch-07-pair-05	7	main/melee/mn/mninfo::mnInfo_80251AFC	98.64901	/Users/Ford/Github Repos/Codecaine/gamecube-decomp-harness/analysis/worker-audit-2026-09-01/condensed/f3e0a532-6afd-4d7d-850b-f0d5ddab4490.md	main/melee/mn/mnmainrule::mn_8022FEC8	99.333336	99.77778	/Users/Ford/Github Repos/Codecaine/gamecube-decomp-harness/analysis/worker-audit-2026-09-01/condensed/41cd30bd-b0d8-4f11-a91d-b0e210d5be20.md
epoch-07-pair-06	7	main/melee/gm/gmresultplayer::fn_80178050	98.7064	/Users/Ford/Github Repos/Codecaine/gamecube-decomp-harness/analysis/worker-audit-2026-09-01/condensed/5d1c88e5-1b58-4497-bac9-14c1683c71ce.md	main/melee/mn/mndiagram3::mnDiagram3_Init	99.34685	99.57658	/Users/Ford/Github Repos/Codecaine/gamecube-decomp-harness/analysis/worker-audit-2026-09-01/condensed/3e2e7291-f56d-4b25-8470-f1a6eb298e7f.md
epoch-08-pair-01	8	main/melee/mn/mnnamenew::WriteCharactersForNameAtIndex	94.60674	/Users/Ford/Github Repos/Codecaine/gamecube-decomp-harness/analysis/worker-audit-2026-09-01/condensed/c975368c-c368-4890-8846-15a5261b3397.md	main/melee/gm/gmregclear::gm_80182578	98.56764	99.73475	/Users/Ford/Github Repos/Codecaine/gamecube-decomp-harness/analysis/worker-audit-2026-09-01/condensed/f4d7c3de-bae0-42dd-8930-ba2d690de7d6.md
epoch-08-pair-02	8	main/melee/mn/mnsnap::mnSnap_80253F60	96.44444	/Users/Ford/Github Repos/Codecaine/gamecube-decomp-harness/analysis/worker-audit-2026-09-01/condensed/c72df1cf-0e85-43fc-b2a2-51c8ed3d7768.md	main/sysdolphin/baselib/hsd_3A94::fn_803AE7F8	98.818535	99.69452	/Users/Ford/Github Repos/Codecaine/gamecube-decomp-harness/analysis/worker-audit-2026-09-01/condensed/a071ac22-28cf-4f4c-9b64-7373baa90f74.md
epoch-08-pair-03	8	main/sysdolphin/baselib/hsd_3B34::fn_803B376C	97.85303	/Users/Ford/Github Repos/Codecaine/gamecube-decomp-harness/analysis/worker-audit-2026-09-01/condensed/48312a2f-a758-4ace-a380-b813b50a5a23.md	main/melee/lb/lbcollision::lbColl_80006094	98.921776	99.56448	/Users/Ford/Github Repos/Codecaine/gamecube-decomp-harness/analysis/worker-audit-2026-09-01/condensed/69430968-2483-4799-b9a6-b59c1d56e7c2.md
epoch-08-pair-04	8	main/melee/ty/tyfigupon::_tyFigupon_80315C44	97.870094	/Users/Ford/Github Repos/Codecaine/gamecube-decomp-harness/analysis/worker-audit-2026-09-01/condensed/5362dd1d-9366-4c14-a90a-ae7bedd924d8.md	main/sysdolphin/baselib/hsd_3A94::fn_803B0E9C	98.9661	99.55932	/Users/Ford/Github Repos/Codecaine/gamecube-decomp-harness/analysis/worker-audit-2026-09-01/condensed/a497e56d-9dd3-47b9-a7fc-fffa168bb864.md
epoch-08-pair-05	8	main/melee/if/ifstatus::ifStatus_802F5EC0	98.8674	/Users/Ford/Github Repos/Codecaine/gamecube-decomp-harness/analysis/worker-audit-2026-09-01/condensed/9dce9616-111a-422c-a82a-092444ef49fa.md	main/melee/gr/grbigblueroute::grBigBlueRoute_8020C85C	99.08197	99.63934	/Users/Ford/Github Repos/Codecaine/gamecube-decomp-harness/analysis/worker-audit-2026-09-01/condensed/04f2403d-aa64-462f-b1a4-fa79875b317f.md
epoch-08-pair-06	8	main/melee/gr/granime::grAnime_801C7228	99.06736	/Users/Ford/Github Repos/Codecaine/gamecube-decomp-harness/analysis/worker-audit-2026-09-01/condensed/d5049af5-a570-46f5-9c33-e9910b2abe50.md	main/melee/mn/mnmainrule::mn_80230E38	99.14481	99.700584	/Users/Ford/Github Repos/Codecaine/gamecube-decomp-harness/analysis/worker-audit-2026-09-01/condensed/415c1809-9adf-4212-b694-ada2509f45a3.md
